95,70
b 15,40 15,45 12
b 35,20 35,10 51
b 50,25 50,20 50
b 50,45 40,45 21
b 65,50 65,45 100
b 70,15 75,15 20
r 0,40 0,50 12
r 25,30 30,30 30
r 55,60 65,60 10
r 60,0 70,0 70
r 65,25 65,20 500
r 80,25 80,20 100
w 0,30 0,40
w 0,30 15,30
w 0,50 0,55
w 0,55 15,55
w 15,30 15,40
w 15,30 25,30
w 15,45 15,55
w 15,55 15,70
w 15,70 55,70
w 30,30 35,30
w 35,0 35,10
w 35,0 50,0
w 35,20 35,30
w 35,30 35,45
w 35,45 40,45
w 50,0 50,20
w 50,0 60,0
w 50,25 50,30
w 50,30 65,30
w 50,45 55,45
w 55,45 55,60
w 55,60 55,70
w 65,15 65,20
w 65,15 70,15
w 65,25 65,30
w 65,30 65,45
w 65,30 80,30
w 65,50 65,60
w 65,60 95,60
w 70,0 80,0
w 75,15 80,15
w 80,0 80,15
w 80,15 80,20
w 80,15 95,15
w 80,25 80,30
w 95,15 95,60
